event_id,event_name,dcat,athlete_id,athlete_name,athlete_country,comp_id,birthday,gender,score_quali,score_semi,score_final
1409,IFSC World Cup Salt Lake City 2025,BOULDER Women,2294,NONAKA Miho,JPN,14097,1997-05-21,female,124.8,84.6,69.4
1409,IFSC World Cup Salt Lake City 2025,BOULDER Women,2501,MACKENZIE Oceania,AUS,14097,2002-07-11,female,124.2,84.9,44.8
1409,IFSC World Cup Salt Lake City 2025,BOULDER Women,2357,ITO Futaba,JPN,14097,2002-04-25,female,124.7,84.9,44.3
1410,IFSC World Cup Prague 2025,BOULDER Men,11675,SCHALCK Mejdi,FRA,14103,2004-05-07,male,108.5,69.9,99.1
1410,IFSC World Cup Prague 2025,BOULDER Men,13040,ANRAKU Sorato,JPN,14103,2006-11-14,male,99.9,84.3,84.1
1410,IFSC World Cup Prague 2025,BOULDER Men,13301,RICHARD Samuel,FRA,14103,2007-09-06,male,93.6,54.0,84.1
1410,IFSC World Cup Prague 2025,BOULDER Men,11871,AMAGASA Sohta,JPN,14103,2000-06-14,male,77.9,69.5,69.5
1410,IFSC World Cup Prague 2025,BOULDER Men,2947,PAN Yufei,CHN,14103,2000-06-23,male,106.8,69.0,69.2
1410,IFSC World Cup Prague 2025,BOULDER Men,373,VAN DUYSEN Hannes,BEL,14103,2004-09-04,male,93.8,53.6,69.0
1410,IFSC World Cup Prague 2025,BOULDER Men,2101,LEE Dohyun,KOR,14103,2002-10-08,male,109.5,69.3,59.9
1410,IFSC World Cup Prague 2025,BOULDER Men,1138,PEHARC Anze,SLO,14103,1997-07-29,male,94.1,59.1,44.2
1411,IFSC World Cup Bern 2025,BOULDER Men,2947,PAN Yufei,CHN,14113,2000-06-23,male,94.1,44.3,84.2
1411,IFSC World Cup Bern 2025,BOULDER Men,11675,SCHALCK Mejdi,FRA,14113,2004-05-07,male,99.6,34.2,84.1
1411,IFSC World Cup Bern 2025,BOULDER Men,13040,ANRAKU Sorato,JPN,14113,2006-11-14,male,124.4,69.4,83.7
1411,IFSC World Cup Bern 2025,BOULDER Men,2101,LEE Dohyun,KOR,14113,2002-10-08,male,109.3,99.8,54.5
1411,IFSC World Cup Bern 2025,BOULDER Men,373,VAN DUYSEN Hannes,BEL,14113,2004-09-04,male,93.9,54.5,54.4
1411,IFSC World Cup Bern 2025,BOULDER Men,547,JENFT Paul,FRA,14113,2003-06-16,male,69.8,44.4,29.4
1411,IFSC World Cup Bern 2025,BOULDER Men,1929,DUFFY Colin,USA,14113,2003-12-10,male,84.0,34.2,19.8
1411,IFSC World Cup Bern 2025,BOULDER Men,12239,AKHTAR Dayan,GBR,14113,2003-12-25,male,84.9,49.6,19.4
1411,IFSC World Cup Bern 2025,BOULDER Women,11468,MCNEICE Erin,GBR,14117,2004-04-06,female,124.2,54.8,99.5
1411,IFSC World Cup Bern 2025,BOULDER Women,13021,SANDERS Annie,USA,14117,2007-07-22,female,124.5,54.3,84.4
1411,IFSC World Cup Bern 2025,BOULDER Women,2294,NONAKA Miho,JPN,14117,1997-05-21,female,124.3,59.5,84.3
1411,IFSC World Cup Bern 2025,BOULDER Women,620,AVEZOU Zélia,FRA,14117,2004-04-10,female,109.4,54.7,74.3
1411,IFSC World Cup Bern 2025,BOULDER Women,2327,NAKAMURA Mao,JPN,14117,2000-03-02,female,108.9,54.4,69.7
1411,IFSC World Cup Bern 2025,BOULDER Women,2501,MACKENZIE Oceania,AUS,14117,2002-07-11,female,109.4,54.3,69.6
1411,IFSC World Cup Bern 2025,BOULDER Women,12297,Matsufuji Anon,JPN,14117,2003-10-18,female,124.1,54.3,69.6
1411,IFSC World Cup Bern 2025,BOULDER Women,14008,SEKIKAWA Melody,JPN,14117,2007-07-30,female,123.9,54.4,54.0
1412,IFSC World Cup Innsbruck 2025,BOULDER Men,11490,ROBERTS Toby,GBR,14123,2005-03-15,male,94.6,54.1,69.8
1412,IFSC World Cup Innsbruck 2025,BOULDER Men,13040,ANRAKU Sorato,JPN,14123,2006-11-14,male,95.0,84.8,69.6
1412,IFSC World Cup Innsbruck 2025,BOULDER Men,373,VAN DUYSEN Hannes,BEL,14123,2004-09-04,male,78.8,39.8,54.6
1412,IFSC World Cup Innsbruck 2025,BOULDER Men,688,MILNE Maximillian,GBR,14123,2000-12-10,male,69.1,44.9,54.5
1412,IFSC World Cup Innsbruck 2025,BOULDER Men,2101,LEE Dohyun,KOR,14123,2002-10-08,male,109.1,84.5,44.9
1412,IFSC World Cup Innsbruck 2025,BOULDER Men,11675,SCHALCK Mejdi,FRA,14123,2004-05-07,male,64.6,54.5,44.3
1412,IFSC World Cup Innsbruck 2025,BOULDER Men,11871,AMAGASA Sohta,JPN,14123,2000-06-14,male,93.1,54.4,39.9
1412,IFSC World Cup Innsbruck 2025,BOULDER Men,1256,UZNIK Nicolai,AUT,14123,2000-08-11,male,93.7,39.8,19.3
1412,IFSC World Cup Innsbruck 2025,BOULDER Women,1147,GARNBRET Janja,SLO,14127,1999-03-12,female,109.6,60.0,99.3
1412,IFSC World Cup Innsbruck 2025,BOULDER Women,11462,BERTONE Oriane,FRA,14127,2005-03-10,female,99.9,54.9,69.8
1412,IFSC World Cup Innsbruck 2025,BOULDER Women,12297,MATSUFUJI Anon,JPN,14127,2003-10-18,female,79.2,68.6,59.5
1412,IFSC World Cup Innsbruck 2025,BOULDER Women,947,MORONI Camilla,ITA,14127,2001-07-08,female,109.7,59.2,53.8
1412,IFSC World Cup Innsbruck 2025,BOULDER Women,2327,NAKAMURA Mao,JPN,14127,2000-03-02,female,124.8,59.7,53.6
1412,IFSC World Cup Innsbruck 2025,BOULDER Women,13021,SANDERS Annie,USA,14127,2007-07-22,female,124.7,84.5,44.6
1412,IFSC World Cup Innsbruck 2025,BOULDER Women,14008,SEKIKAWA Melody,JPN,14127,2007-07-30,female,84.2,54.4,29.3
1412,IFSC World Cup Innsbruck 2025,BOULDER Women,914,TESIO Giorgia,ITA,14127,2000-10-26,female,94.9,68.4,10.0
